key,en,fr,ca
START_NEW_GAME,START NEW GAME,NOUVELLE PARTIE,NOVA PARTIDA
LOAD_GAME,LOAD GAME,CHARGER PARTIE,CARREGAR PARTIDA
SAVE_GAME,SAVE GAME,SAUVEGARDER LE JEU,GUARDAR PARTIDA
LANGUAGE,LANGUAGE,LANGUE,IDIOMA
SETTINGS,SETTINGS,PARAMÈTRES,CONFIGURACIÓ
CREDITS,CREDITS,CRÉDITS,CRÈDITS
EXIT_TO_DESKTOP,EXIT GAME,QUITTER JEU,SORTIR DEL JOC
EXIT_TO_MAIN_MENU,EXIT TO MAIN MENU,SORTIR DU MENU PRINCIPAL,SORTIR AL MENU PRINCIPAL
WANT_QUIT_GAME?,Do you want to quit the game?,Voulez-vous quitter le jeu ?,Vols sortir del joc?
WANT_QUIT_TO_MAIN_MENU?,"Unless you saved your game, all your progress will be lost! Are you sure that you want to quit to the Main Menu?","Si vous n'avez pas sauvegardé votre jeu, tous vos progrès seront perdus ! Êtes-vous sûr de vouloir quitter le menu principal ?","Si no has guardat el teu joc, perdràs tot el teu progrès! Estàs segur de que vols sortir al menu principal?"
QUIT_BUTTON,QUIT,QUITTER,SORTIR
YES,YES,OUI,SÍ
NO,NO,NON,NO
ENGLISH_BUTTON,ENGLISH,ANGLAIS,ANGLÈS
FRENCH_BUTTON,FRENCH,FRANÇOIS,FRANCÈS
CATALAN_BUTTON,CATALAN,CATALAN,CATALÀ
GO_BACK,GO BACK,RETOURNER,TORNAR ENRERA
CREDITS_INFO,"Code, Story & Dialogues, Music and Graphics by Abel Bascunana Pons","Code, histoire, musique & dialogues et graphisme par Abel Bascunana Pons","Codi, História i Diàlegs, Música i Gràfics per Abel Bascunana Pons"
OK,Ok,D'accord,Acceptar
Cancel,Cancel,Annuler,Cancel.lar
