key,en,fr,ca
START_NEW_GAME,START NEW GAME,NOUVELLE PARTIE,NOVA PARTIDA
LOAD_GAME,LOAD GAME,CHARGER PARTIE,CARREGAR PARTIDA
SAVE_GAME,SAVE GAME,SAUVEGARDER LE JEU,GUARDAR PARTIDA
CONTINUE,CONTINUE,CONTINUER,CONTINUAR
LANGUAGE,LANGUAGE,LANGUE,IDIOMA
SETTINGS,SETTINGS,PARAMÈTRES,CONFIGURACIÓ
CREDITS,CREDITS,CRÉDITS,CRÈDITS
EXIT_TO_DESKTOP,EXIT GAME,QUITTER JEU,SORTIR DEL JOC
EXIT_TO_MAIN_MENU,EXIT TO MAIN MENU,SORTIR DU MENU PRINCIPAL,SORTIR AL MENU PRINCIPAL
WANT_QUIT_GAME?,Do you want to quit the game?,Voulez-vous quitter le jeu ?,Vols sortir del joc?
WANT_QUIT_TO_MAIN_MENU?,"Unless you saved your game, all your progress will be lost! Are you sure that you want to quit to the Main Menu?","Si vous n'avez pas sauvegardé votre jeu, tous vos progrès seront perdus ! Êtes-vous sûr de vouloir quitter le menu principal ?","Si no has guardat el teu joc, perdràs tot el teu progrès! Estàs segur de que vols sortir al menu principal?"
QUIT_BUTTON,QUIT,QUITTER,SORTIR
YES,YES,OUI,SÍ
NO,NO,NON,NO
ENGLISH_BUTTON,ENGLISH,ANGLAIS,ANGLÈS
FRENCH_BUTTON,FRENCH,FRANÇOIS,FRANCÈS
CATALAN_BUTTON,CATALAN,CATALAN,CATALÀ
GO_BACK,GO BACK,RETOURNER,TORNAR ENRERA
CREDITS_INFO,A game made by Abel Bascunana Pons,Un jeu réalisé par Abel Bascunana Pons,Un joc fet per Abel Bascunana Pons.
OK,Ok,D'accord,Acceptar
Cancel,Cancel,Annuler,Cancel.lar
NO_SAVES_AVAILABLE,No saved games yet. Please save a game first.,Aucune partie n'a encore été sauvegardée. Veuillez d'abord sauvegarder une partie.,No hi ha partides guardades. Guarda una partida primer.
SAVING_GAME,"SAVING THE GAME, PLEASE WAIT...","SAUVEGARDE DU JEU, VEUILLEZ PATIENTER...","GUARDANT JOC, SI US PLAU ESPERA..."
GAME_SAVED_SUCCESS,GAME WAS SAVED SUCCESSFULLY,LE JEU A ÉTÉ SAUVEGARDÉ AVEC SUCCÈS,JOC GUARDAT AMB ÉXIT
AUTOSAVING,AUTOSAVING,SAUVEGARDE AUTOMATIQUE,AUTOGUARDANT JOC
AUTOSAVE_COMPLETED_SUCCESS,GAME WAS AUTOSAVED SUCCESSFULLY,LE JEU A ÉTÉ AUTO SAUVEGARDÉ AVEC SUCCÈS,EL JOC HA ESTAT AUTOGUARDAT AMB ÉXIT
AUTOSAVE_PREFIX_TITLE,(Autosaved),(Savegardé),(Autoguardat)
TIME_PLAYED,Time Played,Temps joué,Temps jugat
DIALOGUES_VISITED,Dialogues Visited,Dialogues visités,Diàlegs vistos
INPUT_YOUR_NAME_TOP_TITLE,"You can't enter the tavern without telling your name, traveller...","Vous ne pouvez pas entrer dans la taverne sans dire votre nom, voyageur...","No podeu entrar a la taverna sense dir-me el vostre nom, foraster..."
INPUT_YOUR_NAME_CANCEL_BUTTON_TEXT,"No, {0} is not my name!\nLet me change it!","Non, {0} n'est pas mon nom !\n Laissez-moi le changer !","No, {0} no es pas el meu nom!\nDeixa'm canviar-lo!"
INPUT_YOUR_NAME_OK_BUTTON_TEXT,"Yes, {0} is my name!.\nLet me enter the tavern!","Oui, je m'appelle {0} !\n Laissez-moi entrer dans la taverne !","Sí, em dic {0}!\nDeixa'm entrar a la taverna!"
INPUT_YOUR_NAME_CONFIRM_NAME,[center]Are you sure that {0} is your final name?[/center]\n[center]You won't be able to change it during this current play![/center],[center]Etes-vous sur que {0} est votre nom definitif ?[/center]\n[center]Vous ne pourrez pas le changer pendant cette partie ![/center],[center]Segur que {0} es el teu nom?[/center]\n[center]No podràs canviar-lo durant aquesta partida![/center]
TYPE_YOUR_NAME_HERE,<Type your name here>,<Tapez votre nom ici>,<Escriu el teu nom aquí>
SAVE_ERROR,SAVE ERROR,ERREUR DE SAUVEGARDE,ERROR DE GUARDAT
AUTOSAVE_ERROR,Autosave failed. Please check eror logs,L'enregistrement automatique a échoué. Veuillez vérifier les journaux d'erreurs,L'autoguardat ha fallat. Comprova el log d'errors.
MANUAL_SAVE_ERROR,Manual save failed. Please check error logs,L'enregistrement manuel a échoué. Veuillez vérifier les journaux d'erreurs,El guardat manual ha fallat. Consulta el log d'errors.
